vehicle_model,fuel_type,transmission_type,country,maximum_power(hp),maximum_torque(N/m),maximum_speed(km/h),vehicle_acceleration(0-100 km/h in seconds),vehicle_mileage(mpg),vehicle_sprung_mass(kg),steering_radius(m),axle_type(driven/dead),tyre_brand,tyre_size,tread_material,tread_pattern,tyre_camber_angle(degree),standard_tread_depth(mm),retreaded,road_condition,weather_condition,expected_tyre_life(km),kilometers_driven(km),remaining_useful_life(km),current_tread_depth(mm)
Sedan,Petrol,Automatic,Germany,128,356,179,11.1,53.73,2261,5.34,driven,Continental,245/40R18,Dual Compound,Asymmetric,0.65,7.5,No,Smooth,Dry,45618.5,40014.4,3493.1,2.2
SUV,Hybrid,Automatic,Germany,373,412,213,5.69,46.95,1978,6.28,dead,Continental,245/40R18,Carbon Black,Directional,1.69,8.0,No,Rough,Dry,60791.2,42446.0,11434.5,3.51
Coupe,Petrol,Automatic,UK,229,253,260,12.32,20.46,2009,5.37,dead,Bridgestone,195/65R15,Silica Compound,Directional,-0.3,8.5,Yes,Smooth,Rainy,47727.3,4791.1,26761.9,7.77
SUV,Electric,Manual,USA,211,440,142,9.72,28.91,2349,4.65,dead,Pirelli,195/65R15,Silica Compound,Symmetric,0.19,7.5,No,Smooth,Rainy,54566.4,53706.8,535.8,1.48
Truck,Diesel,Automatic,Japan,138,509,175,9.84,53.61,1589,6.39,dead,Michelin,245/40R18,Silica Compound,Directional,-0.43,8.5,No,Off-road,Rainy,43946.0,3339.9,25309.6,7.91
Truck,Petrol,Automatic,Japan,403,553,182,6.1,34.59,1066,6.34,dead,Goodyear,245/40R18,Carbon Black,Asymmetric,1.22,8.0,Yes,Rough,Humid,61737.9,40405.9,13296.2,3.87
Truck,Electric,Automatic,UK,278,141,254,4.74,19.47,2199,5.87,driven,Pirelli,195/65R15,Silica Compound,Directional,2.11,8.0,No,Rough,Cold,52205.1,5770.0,28942.8,7.23
Truck,Hybrid,Automatic,UK,294,480,248,8.65,33.34,1683,5.44,driven,Continental,245/40R18,Silica Compound,Directional,0.04,7.5,No,Off-road,Cold,44217.4,40035.0,2606.9,2.07
Coupe,Petrol,Automatic,USA,128,207,229,10.16,42.88,2278,4.69,dead,Pirelli,225/65R17,Carbon Black,Asymmetric,-0.11,8.0,No,Smooth,Rainy,62247.9,21785.4,25220.1,5.76
Hatchback,Petrol,Manual,USA,311,272,223,4.95,54.9,1062,6.08,driven,Michelin,205/55R16,Carbon Black,Symmetric,-0.96,7.5,No,Smooth,Dry,43100.9,22046.2,13123.3,4.48
Sedan,Hybrid,Automatic,Germany,326,244,216,13.51,27.96,1813,4.65,dead,Continental,225/65R17,Carbon Black,Symmetric,-1.94,8.5,No,Smooth,Dry,57244.6,10233.1,29302.0,7.22
Truck,Diesel,Manual,Japan,318,198,144,13.8,35.56,1402,4.64,driven,Bridgestone,245/40R18,Carbon Black,Directional,2.64,8.5,Yes,Rough,Dry,58224.6,31823.3,16455.7,4.45
SUV,Hybrid,Manual,Japan,446,465,217,9.45,50.19,1191,5.57,driven,Goodyear,225/65R17,Dual Compound,Asymmetric,-1.1,7.5,No,Smooth,Dry,67910.5,63757.1,2588.8,1.81
Truck,Petrol,Manual,UK,247,575,230,13.5,29.21,2352,4.82,driven,Goodyear,205/55R16,Carbon Black,Asymmetric,1.8,7.5,No,Off-road,Humid,44529.4,40149.2,2730.2,2.0
SUV,Hybrid,Manual,Germany,127,170,226,5.79,19.37,1070,4.52,driven,Continental,245/40R18,Carbon Black,Asymmetric,1.29,7.5,No,Smooth,Cold,59600.4,3808.2,34775.0,6.91
SUV,Electric,Manual,Japan,130,335,153,4.25,52.96,1877,5.35,driven,Bridgestone,225/65R17,Silica Compound,Symmetric,1.75,8.5,No,Rough,Rainy,51423.1,19451.2,19927.9,5.87
Truck,Hybrid,Automatic,Germany,378,295,243,4.39,34.54,1740,4.77,driven,Michelin,225/65R17,Silica Compound,Asymmetric,2.62,8.5,No,Rough,Humid,52024.4,13913.0,23754.7,6.61
Coupe,Petrol,Automatic,Germany,177,477,222,9.88,35.11,1945,4.82,driven,Goodyear,205/55R16,Carbon Black,Asymmetric,0.74,8.0,No,Smooth,Cold,55054.8,26501.2,17797.3,4.92
SUV,Hybrid,Manual,UK,295,372,193,4.62,39.85,2086,4.65,driven,Continental,245/40R18,Carbon Black,Symmetric,2.39,8.0,No,Smooth,Humid,47013.5,39196.6,4872.3,2.72
SUV,Diesel,Manual,Germany,256,573,271,13.59,15.14,2320,4.91,dead,Goodyear,195/65R15,Carbon Black,Asymmetric,-1.99,8.5,No,Rough,Dry,53835.5,39776.5,8762.9,3.66
Truck,Hybrid,Manual,USA,159,365,234,5.42,52.25,1244,5.93,dead,Bridgestone,245/40R18,Silica Compound,Symmetric,0.76,8.5,No,Smooth,Humid,60605.4,20846.9,24781.2,6.17
SUV,Diesel,Automatic,USA,264,346,148,7.05,29.46,1518,6.12,driven,Michelin,205/55R16,Silica Compound,Directional,1.63,7.5,No,Off-road,Humid,53713.4,20554.3,20667.9,5.21
SUV,Electric,Manual,India,446,225,192,12.23,30.88,1392,5.41,driven,Bridgestone,205/55R16,Carbon Black,Directional,-1.37,8.5,No,Rough,Dry,41275.3,27004.5,8894.9,4.25
Truck,Diesel,Automatic,UK,106,312,216,6.19,21.96,1771,5.51,driven,Pirelli,205/55R16,Silica Compound,Directional,1.44,8.5,No,Smooth,Dry,47734.8,9271.3,23974.1,7.05
Truck,Hybrid,Manual,India,274,435,199,6.43,30.13,2200,4.57,dead,Bridgestone,205/55R16,Silica Compound,Directional,1.67,8.0,Yes,Smooth,Rainy,50543.8,5192.3,28267.4,7.22
Sedan,Petrol,Automatic,USA,293,421,185,10.42,47.16,2227,4.64,driven,Bridgestone,195/65R15,Carbon Black,Directional,1.99,8.0,No,Smooth,Rainy,50641.6,12285.1,23907.5,6.51
Coupe,Diesel,Manual,India,448,155,193,6.76,47.0,1910,5.02,driven,Goodyear,245/40R18,Silica Compound,Symmetric,-1.12,7.5,No,Off-road,Cold,42430.2,5262.7,23166.3,6.89
Coupe,Electric,Automatic,UK,421,561,213,6.17,52.43,2151,5.59,dead,Bridgestone,245/40R18,Carbon Black,Symmetric,1.09,8.0,No,Rough,Rainy,53487.1,18826.6,21603.7,5.89
SUV,Diesel,Manual,UK,193,323,251,6.54,31.13,2218,5.98,dead,Continental,225/65R17,Dual Compound,Symmetric,-1.17,7.5,No,Off-road,Rainy,60758.5,56965.1,2364.4,1.69
Coupe,Diesel,Automatic,Germany,321,541,234,8.91,43.35,2217,5.71,dead,Goodyear,195/65R15,Dual Compound,Asymmetric,1.43,8.5,No,Smooth,Cold,41460.2,4987.6,22733.1,7.5
SUV,Diesel,Automatic,Japan,203,386,162,13.66,35.29,1183,5.28,driven,Goodyear,195/65R15,Dual Compound,Directional,-0.22,8.5,No,Off-road,Humid,62527.7,51167.8,7080.6,2.92
Sedan,Electric,Automatic,Germany,384,387,166,12.32,47.16,1246,4.74,dead,Pirelli,225/65R17,Silica Compound,Asymmetric,0.59,7.5,No,Smooth,Humid,68653.2,36705.3,19913.0,4.36
Truck,Hybrid,Automatic,UK,155,289,209,6.85,43.5,1323,6.06,driven,Continental,225/65R17,Dual Compound,Asymmetric,-0.5,8.0,No,Smooth,Humid,40280.1,25493.4,9216.5,3.91
Truck,Diesel,Automatic,USA,390,158,248,7.63,29.72,1159,5.23,dead,Bridgestone,245/40R18,Silica Compound,Asymmetric,-2.03,8.0,No,Rough,Dry,45810.8,7791.6,23697.2,6.79
Truck,Diesel,Automatic,USA,391,574,216,8.65,28.47,1705,5.97,driven,Pirelli,245/40R18,Carbon Black,Directional,-1.93,8.5,No,Rough,Cold,56304.6,8523.0,29782.0,7.34
Coupe,Petrol,Automatic,Germany,275,258,189,13.79,25.1,1621,5.53,driven,Continental,245/40R18,Dual Compound,Asymmetric,-2.53,8.0,No,Smooth,Humid,46541.5,7574.3,24288.0,7.06
Sedan,Electric,Manual,UK,430,411,263,5.72,38.06,1924,5.98,driven,Pirelli,195/65R15,Silica Compound,Directional,0.71,7.5,No,Smooth,Rainy,62938.8,41984.1,13060.9,3.6
Coupe,Diesel,Manual,USA,123,171,158,7.57,53.55,1065,6.31,dead,Michelin,195/65R15,Dual Compound,Directional,2.09,8.5,No,Smooth,Rainy,49364.0,36913.8,7760.1,3.48
Coupe,Electric,Manual,UK,265,406,140,11.29,23.0,1929,6.34,driven,Bridgestone,225/65R17,Silica Compound,Directional,-2.87,8.0,No,Rough,Rainy,48808.8,44916.0,2426.3,2.11
Sedan,Diesel,Manual,USA,422,408,179,13.64,18.81,1253,5.57,driven,Pirelli,205/55R16,Silica Compound,Asymmetric,-2.6,8.5,No,Rough,Cold,40027.7,15938.7,15014.5,5.71
Sedan,Hybrid,Manual,UK,325,260,161,5.56,19.78,1282,5.52,driven,Michelin,205/55R16,Carbon Black,Directional,-0.26,8.5,No,Smooth,Cold,48103.8,22222.5,16131.7,5.17
Sedan,Hybrid,Automatic,India,163,265,251,6.27,46.32,2083,5.03,dead,Bridgestone,205/55R16,Silica Compound,Directional,1.43,8.0,No,Rough,Rainy,46530.1,21850.3,15382.8,4.84
Sedan,Diesel,Automatic,UK,286,544,179,6.26,29.0,1117,6.37,driven,Pirelli,205/55R16,Silica Compound,Symmetric,-2.05,7.5,Yes,Smooth,Dry,50297.2,13575.1,22888.7,5.68
Truck,Hybrid,Automatic,UK,230,433,177,4.21,23.97,1422,5.42,driven,Pirelli,205/55R16,Dual Compound,Asymmetric,-1.37,8.0,Yes,Off-road,Dry,44429.7,14583.3,18603.1,5.87
Hatchback,Diesel,Automatic,Germany,235,303,187,10.04,29.11,1555,4.76,driven,Pirelli,245/40R18,Carbon Black,Symmetric,-1.61,8.0,No,Rough,Humid,57839.5,48979.6,5522.3,2.63
Hatchback,Hybrid,Automatic,India,95,271,214,10.71,40.81,1035,5.37,driven,Pirelli,225/65R17,Silica Compound,Symmetric,-0.61,8.0,No,Smooth,Humid,47162.2,16210.7,19291.9,5.81
Sedan,Petrol,Manual,Japan,244,320,246,10.03,36.87,1530,4.75,dead,Goodyear,205/55R16,Dual Compound,Asymmetric,-1.65,8.0,No,Off-road,Humid,64952.5,56450.0,5299.6,2.58
Hatchback,Petrol,Manual,Germany,224,247,147,4.71,44.74,1090,5.51,driven,Pirelli,205/55R16,Carbon Black,Symmetric,-0.88,8.0,No,Smooth,Humid,48536.7,14816.7,21017.5,6.06
Hatchback,Petrol,Manual,Japan,116,406,225,4.69,28.56,2324,5.62,dead,Goodyear,205/55R16,Silica Compound,Directional,1.37,8.0,No,Off-road,Humid,46326.1,15745.5,19060.8,5.66
Sedan,Electric,Manual,USA,412,430,207,6.1,33.08,2240,5.18,dead,Goodyear,245/40R18,Dual Compound,Symmetric,0.67,7.5,No,Rough,Cold,41702.5,23365.1,11429.6,4.12
Hatchback,Electric,Automatic,Japan,124,372,214,6.9,19.08,1097,4.64,driven,Michelin,205/55R16,Carbon Black,Symmetric,-2.51,8.5,No,Rough,Cold,62197.2,6414.2,34769.3,7.79
Coupe,Petrol,Automatic,UK,285,385,276,11.87,17.92,2479,6.39,dead,Bridgestone,225/65R17,Carbon Black,Directional,0.83,7.5,Yes,Smooth,Dry,55246.2,50940.5,2683.8,2.02
SUV,Electric,Automatic,Japan,141,307,229,5.59,33.49,1530,6.05,dead,Goodyear,245/40R18,Carbon Black,Symmetric,-0.14,8.0,Yes,Rough,Dry,43413.5,35616.4,4859.9,2.83
SUV,Hybrid,Manual,Germany,435,505,269,4.44,27.06,1537,6.18,dead,Continental,245/40R18,Carbon Black,Directional,2.61,7.5,No,Rough,Cold,46640.0,31272.3,9578.6,3.52
Sedan,Diesel,Automatic,Germany,387,349,219,7.94,39.51,2051,5.23,driven,Goodyear,195/65R15,Silica Compound,Asymmetric,-1.26,8.5,No,Off-road,Dry,69961.6,69130.8,517.8,1.73
Truck,Diesel,Manual,Japan,98,390,234,8.16,16.72,2347,6.02,dead,Continental,195/65R15,Silica Compound,Symmetric,1.36,7.5,No,Rough,Rainy,64180.9,1026.9,39363.6,7.5
Sedan,Diesel,Automatic,Germany,444,378,209,8.51,19.87,2246,5.47,dead,Michelin,245/40R18,Carbon Black,Asymmetric,1.39,8.0,No,Off-road,Dry,50496.1,20756.9,18536.3,5.45
Truck,Petrol,Automatic,Germany,379,418,229,12.27,49.61,1079,4.9,driven,Continental,205/55R16,Carbon Black,Symmetric,-1.67,8.5,No,Off-road,Rainy,56276.6,48304.7,4968.9,2.4
SUV,Electric,Manual,Japan,86,534,198,4.98,37.65,1562,4.75,driven,Michelin,205/55R16,Silica Compound,Directional,2.42,8.0,No,Off-road,Rainy,52480.5,22725.0,18546.5,5.31
Sedan,Hybrid,Automatic,India,328,317,167,11.04,43.48,2481,5.19,dead,Michelin,205/55R16,Dual Compound,Symmetric,-0.05,8.0,No,Rough,Humid,41091.7,215.4,25478.0,7.88
Coupe,Hybrid,Automatic,India,196,442,211,7.38,48.68,1613,4.78,dead,Michelin,205/55R16,Carbon Black,Asymmetric,1.07,8.5,No,Smooth,Dry,63360.3,9995.3,33262.1,7.25
Hatchback,Petrol,Manual,USA,147,175,153,7.1,33.55,1175,6.5,dead,Continental,195/65R15,Silica Compound,Directional,-2.12,8.5,No,Smooth,Rainy,61509.6,26699.6,21696.9,5.57
Truck,Hybrid,Automatic,Germany,113,438,163,13.33,45.44,1521,4.6,driven,Continental,225/65R17,Silica Compound,Directional,-1.45,8.0,Yes,Rough,Dry,52264.1,34909.7,10816.9,3.96
Hatchback,Hybrid,Manual,Japan,273,322,251,6.48,35.98,2480,5.38,dead,Michelin,245/40R18,Dual Compound,Asymmetric,0.52,7.5,No,Off-road,Dry,65376.9,10633.8,34121.1,6.52
Hatchback,Hybrid,Automatic,Germany,404,390,183,10.43,23.91,1422,5.4,driven,Michelin,205/55R16,Silica Compound,Asymmetric,-1.09,8.5,No,Rough,Cold,56042.2,25109.3,19280.3,5.42
Sedan,Hybrid,Automatic,UK,134,228,195,6.75,28.51,2123,5.1,dead,Bridgestone,195/65R15,Carbon Black,Symmetric,-0.0,7.5,No,Smooth,Cold,41956.3,536.6,25816.7,7.43
Hatchback,Electric,Automatic,Germany,345,235,259,9.07,34.61,2426,5.64,dead,Michelin,225/65R17,Silica Compound,Symmetric,-0.76,7.5,No,Off-road,Humid,47782.2,22816.0,15561.3,4.87
Coupe,Hybrid,Automatic,Germany,121,211,171,11.86,27.68,1575,4.8,driven,Pirelli,245/40R18,Carbon Black,Directional,0.84,8.5,Yes,Rough,Dry,53853.2,48248.4,3493.4,2.38
Hatchback,Diesel,Automatic,India,376,257,164,12.82,28.42,2403,6.07,dead,Bridgestone,245/40R18,Silica Compound,Asymmetric,-0.08,7.5,No,Off-road,Cold,43103.5,25722.8,10833.3,4.02
Sedan,Petrol,Automatic,Japan,310,541,255,12.39,28.5,1530,5.16,driven,Bridgestone,245/40R18,Carbon Black,Asymmetric,-2.97,8.5,No,Off-road,Rainy,57132.4,25175.7,19918.5,5.46
Coupe,Electric,Automatic,Germany,89,422,205,9.82,19.91,1331,5.68,dead,Bridgestone,205/55R16,Carbon Black,Symmetric,0.9,8.5,No,Smooth,Rainy,43617.0,7077.3,22775.1,7.34
SUV,Hybrid,Automatic,India,437,176,181,6.49,18.39,2341,5.93,driven,Pirelli,245/40R18,Silica Compound,Symmetric,-0.47,8.5,Yes,Off-road,Humid,46015.2,9314.3,22875.5,7.26
Hatchback,Electric,Manual,USA,207,169,215,10.61,16.86,1652,6.28,driven,Bridgestone,205/55R16,Carbon Black,Directional,-0.95,8.5,No,Rough,Rainy,66819.5,5112.4,38461.8,7.87
Sedan,Hybrid,Manual,India,258,190,276,11.1,19.44,1739,6.17,dead,Bridgestone,225/65R17,Silica Compound,Asymmetric,-2.44,7.5,No,Off-road,Dry,69994.4,51964.6,11237.9,3.12
SUV,Diesel,Automatic,India,272,518,177,4.11,28.75,2112,5.72,driven,Continental,195/65R15,Silica Compound,Asymmetric,-1.68,7.5,No,Off-road,Rainy,56507.6,4358.7,32504.1,7.0
SUV,Petrol,Automatic,India,171,521,200,8.39,38.75,1510,5.28,dead,Continental,195/65R15,Silica Compound,Asymmetric,-1.66,8.5,No,Rough,Humid,58589.5,22495.4,22497.3,5.81
Truck,Hybrid,Manual,Germany,448,201,228,12.43,22.53,1041,5.51,driven,Michelin,195/65R15,Carbon Black,Asymmetric,2.61,8.5,No,Smooth,Humid,63922.9,47932.3,9966.9,3.36
Coupe,Hybrid,Automatic,Germany,310,491,157,8.9,50.52,1884,6.04,driven,Michelin,245/40R18,Silica Compound,Symmetric,-0.4,8.5,No,Smooth,Rainy,60884.2,43399.6,10898.0,3.43
Hatchback,Hybrid,Automatic,USA,157,224,209,7.11,47.34,2412,6.26,driven,Goodyear,195/65R15,Dual Compound,Symmetric,-2.75,8.5,No,Rough,Dry,45474.0,26262.7,11974.3,4.47
Sedan,Hybrid,Manual,UK,164,207,221,12.72,35.82,1080,4.71,dead,Pirelli,225/65R17,Carbon Black,Symmetric,-2.17,8.0,No,Off-road,Cold,52350.1,29908.0,13988.1,4.36
Truck,Petrol,Automatic,UK,109,121,255,5.56,43.97,1401,5.27,driven,Continental,205/55R16,Dual Compound,Directional,-2.53,7.5,No,Rough,Dry,56053.5,5063.2,31782.0,6.93
Coupe,Petrol,Automatic,UK,292,479,219,6.06,29.65,1106,6.05,driven,Michelin,195/65R15,Dual Compound,Asymmetric,0.53,7.5,No,Rough,Dry,50791.4,8884.2,26120.5,6.36
Truck,Diesel,Manual,USA,128,203,154,10.87,16.47,2134,5.36,driven,Pirelli,205/55R16,Dual Compound,Symmetric,-1.88,8.5,No,Rough,Dry,45283.2,24214.9,13131.7,5.01
Coupe,Petrol,Automatic,UK,344,162,152,7.52,51.17,2300,5.16,dead,Bridgestone,205/55R16,Dual Compound,Asymmetric,-0.01,8.0,No,Smooth,Rainy,62083.4,21610.0,25226.9,5.67
